CityA,CityB,Distance,Temps
Montpellier,Nimes,52,0h35
Marseille,Avignon,99,1h
Pau,Biarritz,121,1h07
Nimes,Marseille,126,1h13
Toulon,Monaco,169,1h35
La Rochelle,Bordeaux,183,1h38
Montpellier,Marseille ,172,1h40
Pau,Toulouse,193,1h41
Paris,Troyes,179,1h44
Paris,Rouen,133,1h45
Bordeaux,Biarritz,202,1h47
Avignon,Lyon,226,1h58
Angers,La Rochelle,187,2h20
Toulouse,Nimes,289,2h26
Monaco,Marseille ,224,2h3
Biarritz,Toulouse,309,2h39
Lyon,Marseille ,313,2h42
Troyes,Lyon,375,3h08
Paris,Angers,294,3h11
Pau,Lyon,464,3h57
Bordeaux,Montpellier,483,4h03
Bordeaux,Lyon,551,4h47
Paris,Lyon,464,4h55
Bordeaux,Paris,583,4h56
Bordeaux,Marseille ,649,5h28
Paris,Toulouse,675,5h44
Paris,Nimes,716,6h01
Paris,Montpellier,746,6h19
Paris,Biarritz,779,6h29
Paris,Pau,791,6h34
Paris,Marseille,777,6h36
Bordeaux,Monaco,824,6h56
